fname,label,length
5ec7ad26.wav,Hi-hat,0.7248125
a1b369d7.wav,Hi-hat,0.4910625
8cd809d3.wav,Hi-hat,1.1234375
aed9d22f.wav,Hi-hat,1.215875
a7964699.wav,Hi-hat,1.3223125
da3f8050.wav,Hi-hat,1.5906875
468f9c4c.wav,Hi-hat,2.2670625
229be2be.wav,Snare_drum,2.328
b6cbc6a9.wav,Snare_drum,0.370375
ae7d1c37.wav,Snare_drum,7.3828125
82d4fb44.wav,Snare_drum,3.3681875
4c590f69.wav,Snare_drum,0.1408125
1c9a423f.wav,Snare_drum,0.23225
f0727eac.wav,Snare_drum,0.4281875
31db8c5e.wav,Snare_drum,0.2824375
b86b5a96.wav,Snare_drum,0.215
6fca680b.wav,Snare_drum,2.42125
1bc8eae1.wav,Snare_drum,6.0689375
46b52f97.wav,Snare_drum,0.342875
0c67f402.wav,Snare_drum,9.631375
c8ecbbfd.wav,Snare_drum,0.161125
9f84ea5a.wav,Snare_drum,0.584625
e4958adc.wav,Snare_drum,7.913375
5ce40b1b.wav,Snare_drum,2.901375
9d308738.wav,Snare_drum,2.250875
1e3391d5.wav,Snare_drum,4.4913125
ff3f21e7.wav,Snare_drum,6.11325
b68f10af.wav,Snare_drum,3.1181875
e8e00924.wav,Snare_drum,0.3741875
22e1c02c.wav,Snare_drum,0.1935625
5c33d972.wav,Snare_drum,0.195125
9320c55f.wav,Snare_drum,0.2416875
f1754aea.wav,Snare_drum,1.1718125
b218444c.wav,Snare_drum,2.19425
36d06cc0.wav,Snare_drum,0.9399375
4c4d4797.wav,Snare_drum,0.09475
cae0d841.wav,Snare_drum,0.3589375
17f82c05.wav,Acoustic_guitar,3.1775625
0eeaebcb.wav,Acoustic_guitar,8.02
e92bf0fa.wav,Acoustic_guitar,2.682
10da16fb.wav,Acoustic_guitar,2.342625
a25423a8.wav,Acoustic_guitar,8.2716875
16c9a838.wav,Acoustic_guitar,3.14
70ca9c77.wav,Acoustic_guitar,7.2305625
38216fad.wav,Acoustic_guitar,7.314875
d8a257e5.wav,Acoustic_guitar,2.0575
7506dcc4.wav,Acoustic_guitar,1.9993125
a6728901.wav,Acoustic_guitar,1.670375
b88322f6.wav,Acoustic_guitar,4.18
35039ae1.wav,Acoustic_guitar,1.3553125
236cbab1.wav,Acoustic_guitar,6.641125
0356dec7.wav,Acoustic_guitar,4.22825
bb1f5874.wav,Acoustic_guitar,2.699625
34747922.wav,Acoustic_guitar,1.1445625
44fb3eeb.wav,Acoustic_guitar,3.14
367ad7b1.wav,Acoustic_guitar,4.8985625
160c92d7.wav,Acoustic_guitar,2.3711875
2016d256.wav,Acoustic_guitar,2.1
fc55d588.wav,Acoustic_guitar,4.18
c7846d27.wav,Acoustic_guitar,0.7680625
55822aae.wav,Acoustic_guitar,8.02
9923ddf8.wav,Acoustic_guitar,0.558
32dee61b.wav,Acoustic_guitar,3.3640625
fa4d4a92.wav,Acoustic_guitar,3.5888125
8da75280.wav,Acoustic_guitar,10.2945
b2261238.wav,Acoustic_guitar,8.02
673defaf.wav,Acoustic_guitar,3.0794375
e6597186.wav,Double_bass,2.7665
fcfafbc8.wav,Double_bass,3.2636875
444f9db5.wav,Double_bass,2.32
19893aa8.wav,Double_bass,2.3673125
f042282c.wav,Double_bass,1.834875
95e1d0ae.wav,Double_bass,2.11675
595c191d.wav,Double_bass,2.98
8073923c.wav,Double_bass,1.1304375
6efbaf90.wav,Double_bass,0.656875
642ad7e4.wav,Double_bass,0.3505625
5eadbc6d.wav,Double_bass,2.003625
1a7d3f2d.wav,Double_bass,1.732
13da16ae.wav,Double_bass,4.36
103f29e5.wav,Double_bass,3.12
da8ea649.wav,Double_bass,3.038125
ca348cbb.wav,Double_bass,2.8378125
8ce2e863.wav,Double_bass,1.779375
462b676f.wav,Double_bass,4.4334375
b428466c.wav,Double_bass,0.383875
4fd883bb.wav,Double_bass,0.4501875
2ac8b94f.wav,Double_bass,2.616125
c840804f.wav,Double_bass,2.1783125
f63f3703.wav,Double_bass,3.44
c0ddf010.wav,Double_bass,2.5
a0cbe92e.wav,Double_bass,1.894375
4fb480bf.wav,Double_bass,5.3880625
9dd0141c.wav,Double_bass,3.58
deb87700.wav,Double_bass,2.0105625
e0ecd1a6.wav,Double_bass,0.9370625
0286fc27.wav,Double_bass,1.9358125
e2d993ec.wav,Cello,2.76575
0091fc7f.wav,Cello,4.1939375
e55c5160.wav,Cello,3.8338125
a59b5a08.wav,Cello,2.603875
88500b88.wav,Cello,4.1406875
743ae0f9.wav,Cello,2.286875
9e3bc1b6.wav,Cello,4.031125
3e2bddda.wav,Cello,1.8201875
d328db67.wav,Cello,3.787125
7d896090.wav,Cello,4.2083125
4bff8f32.wav,Cello,4.195
5e5bca7a.wav,Cello,4.9861875
811bf309.wav,Cello,2.93025
5689818f.wav,Cello,2.884875
81d9f077.wav,Cello,5.5328125
00353774.wav,Cello,3.7718125
6a210ffa.wav,Cello,4.4333125
e97d9707.wav,Cello,1.7831875
238b16a5.wav,Cello,0.85525
dc5be9d7.wav,Cello,8.3035625
f9653de8.wav,Cello,2.18675
31dbc5c0.wav,Cello,4.4960625
cbc8d551.wav,Cello,1.706
195f544d.wav,Cello,5.91225
22bea889.wav,Cello,1.1605
ab8e8ae3.wav,Cello,6.748125
e70c41d4.wav,Cello,8.2588125
125e6ccf.wav,Cello,4.1460625
2da9e12a.wav,Cello,4.74775
34e4d187.wav,Cello,2.049
52e54bdd.wav,Bass_drum,0.507
6d21ad67.wav,Bass_drum,2.9
ca3f3698.wav,Bass_drum,1.0
aa9ae956.wav,Bass_drum,0.3021875
0ddb4bdf.wav,Bass_drum,0.3148125
921eee9d.wav,Bass_drum,0.363125
c153f347.wav,Bass_drum,0.5036875
63e0ab2c.wav,Bass_drum,0.234125
88780eac.wav,Bass_drum,3.117375
bea51ca5.wav,Bass_drum,0.2414375
f26131d8.wav,Bass_drum,0.3676875
ce75b5ce.wav,Bass_drum,0.4735
565f3ee2.wav,Bass_drum,1.56
ff11628d.wav,Bass_drum,0.30875
cdfc8967.wav,Bass_drum,0.245625
f8a99b37.wav,Bass_drum,0.3036875
809ea09e.wav,Bass_drum,0.30125
03fc1f96.wav,Bass_drum,0.2236875
8b6a16de.wav,Bass_drum,1.4958125
7dda9dc2.wav,Bass_drum,0.2051875
3a9085ca.wav,Bass_drum,0.540875
4ba2b70e.wav,Bass_drum,0.386
01c2f88b.wav,Bass_drum,0.4795625
ce3f3400.wav,Bass_drum,0.919375
6a96272b.wav,Bass_drum,0.6240625
9adffd44.wav,Bass_drum,4.9230625
7d11b3b4.wav,Bass_drum,0.40575
bab98261.wav,Bass_drum,0.3965625
c11bacda.wav,Bass_drum,0.5656875
9a4bfb69.wav,Bass_drum,0.739
18865530.wav,Flute,2.6529375
9f6eac9c.wav,Flute,8.240375
07db7f16.wav,Flute,4.670125
dc6676ff.wav,Flute,3.0475
3eaddda8.wav,Flute,4.158625
1b93aeba.wav,Flute,2.77025
c683f28f.wav,Flute,9.815
55d52a69.wav,Flute,4.7401875
ca8653d2.wav,Flute,7.7505
6b27a847.wav,Flute,8.4839375
4bcc8a77.wav,Flute,1.7435
84f5b84b.wav,Flute,8.9636875
5d73ee6f.wav,Flute,5.048
5d040c3b.wav,Flute,4.64575
6a037ddf.wav,Flute,4.4485
35e97db3.wav,Flute,2.151125
d14f5df1.wav,Flute,12.5225
9f522cda.wav,Flute,4.2484375
fe76c972.wav,Flute,7.33125
562d93f5.wav,Flute,6.2821875
fa32109e.wav,Flute,8.1386875
b4b2b68d.wav,Flute,8.1280625
af227d6f.wav,Flute,7.467875
85d6a7d2.wav,Flute,7.4660625
3707da71.wav,Flute,6.918625
61c914b1.wav,Flute,3.9455625
f5e20dce.wav,Flute,7.6085625
b0d9849d.wav,Flute,7.5276875
6ef82473.wav,Flute,12.3233125
8986cced.wav,Flute,3.9374375
a64a3740.wav,Clarinet,5.331125
ad7ec8cb.wav,Clarinet,6.725125
8ee44fb5.wav,Clarinet,3.341375
7eb959ec.wav,Clarinet,7.47175
e51e1770.wav,Clarinet,4.6360625
3f7e6da8.wav,Clarinet,4.845375
3cbe9902.wav,Clarinet,5.4843125
9a722e53.wav,Clarinet,9.087375
19105b8a.wav,Clarinet,4.363125
1f81cc2b.wav,Clarinet,17.83025
44c5094c.wav,Clarinet,3.4358125
5506629f.wav,Clarinet,1.7849375
ddf23920.wav,Clarinet,4.6570625
2e1cd085.wav,Clarinet,4.2748125
dc981a38.wav,Clarinet,5.7655
a053797b.wav,Clarinet,4.4603125
f2310f0d.wav,Clarinet,9.8956875
ce65d6b5.wav,Clarinet,2.6924375
45de3233.wav,Clarinet,4.487
8916ffcd.wav,Clarinet,3.9720625
e43f7db2.wav,Clarinet,7.88
3c66098d.wav,Clarinet,3.900875
ad42e493.wav,Clarinet,4.879375
740e5bb7.wav,Clarinet,9.5484375
800b401e.wav,Clarinet,6.3209375
3c713bcf.wav,Clarinet,5.251125
2fc00271.wav,Clarinet,3.0914375
b0c06255.wav,Clarinet,3.5390625
71c6451f.wav,Clarinet,2.3191875
5de123c3.wav,Clarinet,2.835625
